run_at,config,chunker,n,embed_model,gen_model,top_k,words_per_chunk,overlap,chunks_in_store,recall_at_1,recall_at_3,recall_at_5,mrr_at_5,loose_recall_at_5,answer_accuracy,citation_rate,retrieve_p50_ms,retrieve_p95_ms,generate_p50_ms,generate_p95_ms,total_cost_usd
2026-09-11T12:00:26Z,section-heading-fold40-dense-numpy,section-heading,60,BAAI/bge-base-en-v1.5,,5,350,50,1324,53.3,83.3,93.3,0.682,96.7,,,,,,,
2026-09-11T12:02:36Z,baseline-naive-dense-numpy,naive,60,BAAI/bge-base-en-v1.5,,5,350,50,1130,51.7,78.3,83.3,0.642,86.7,,,,,,,
2026-09-11T12:02:42Z,section-dense-numpy,section,60,BAAI/bge-base-en-v1.5,,5,350,50,1508,63.3,86.7,91.7,0.753,95.0,,,,,,,
2026-09-11T12:02:44Z,section-fold40-dense-numpy,section,60,BAAI/bge-base-en-v1.5,,5,350,50,1324,61.7,83.3,90.0,0.734,93.3,,,,,,,
2026-09-11T12:04:06Z,section-heading-dense-numpy,section-heading,60,BAAI/bge-base-en-v1.5,,5,350,50,1508,55.0,85.0,93.3,0.696,96.7,,,,,,,
2026-09-11T12:08:26Z,section-dense-rerank-numpy,section,60,BAAI/bge-base-en-v1.5,,5,350,50,1508,90.0,98.3,98.3,0.939,98.3,,,,,,,
2026-09-11T12:08:57Z,baseline-naive-dense-rerank-numpy,naive,60,BAAI/bge-base-en-v1.5,,5,350,50,1130,90.0,93.3,96.7,0.924,98.3,,,,,,,
2026-09-11T18:23:23Z,section-dense-rerank,section,60,BAAI/bge-base-en-v1.5,,5,350,50,1508,90.0,98.3,98.3,0.939,98.3,,,166,174,,,
2026-09-11T18:23:47Z,section-dense,section,60,BAAI/bge-base-en-v1.5,,5,350,50,1508,63.3,86.7,91.7,0.753,95.0,,,9,10,,,
2026-09-11T18:24:41Z,baseline-naive-dense,naive,60,BAAI/bge-base-en-v1.5,,5,350,50,1130,51.7,78.3,83.3,0.642,86.7,,,9,12,,,
2026-09-11T18:24:41Z,baseline-naive-dense-rerank,naive,60,BAAI/bge-base-en-v1.5,,5,350,50,1130,88.3,93.3,96.7,0.913,98.3,,,164,172,,,
2026-09-11T18:35:10Z,section-dense-hybrid,section,60,BAAI/bge-base-en-v1.5,,5,350,50,1508,46.7,73.3,81.7,0.605,90.0,,,29,75,,,
2026-09-11T18:35:10Z,section-dense-hybrid-rerank,section,60,BAAI/bge-base-en-v1.5,,5,350,50,1508,90.0,98.3,98.3,0.939,98.3,,,181,225,,,
2026-09-11T18:41:24Z,section-dense-rerank,section,60,BAAI/bge-base-en-v1.5,claude-opus-5,5,350,50,1508,90.0,98.3,98.3,0.939,98.3,96.7,100.0,415,490,3158,4469,1.1543
2026-09-11T18:46:35Z,baseline-naive-dense,naive,60,BAAI/bge-base-en-v1.5,claude-opus-5,5,350,50,1130,51.7,78.3,83.3,0.642,86.7,85.0,100.0,82,128,3282,4731,1.423
2026-09-11T18:57:38Z,section-context-dense-numpy,section-context,60,BAAI/bge-base-en-v1.5,,5,350,50,1508,60.0,90.0,95.0,0.745,96.7,,,,,,,
2026-09-11T18:57:50Z,section-context-dense-rerank-numpy,section-context,60,BAAI/bge-base-en-v1.5,,5,350,50,1508,90.0,95.0,95.0,0.922,96.7,,,,,,,
2026-09-11T18:58:16Z,section-context-dense,section-context,60,BAAI/bge-base-en-v1.5,,5,350,50,1508,60.0,90.0,95.0,0.745,96.7,,,10,14,,,
2026-09-11T18:58:16Z,section-context-dense-rerank,section-context,60,BAAI/bge-base-en-v1.5,,5,350,50,1508,90.0,95.0,95.0,0.922,96.7,,,168,174,,,
2026-09-11T20:29:20Z,section-dense-rerank,section,60,BAAI/bge-base-en-v1.5,claude-sonnet-5,5,350,50,1508,90.0,98.3,98.3,0.939,98.3,96.7,100.0,299,443,1788,2544,0.4133
